elapsed, window, total, successful, failed
10.001798, 10.001798, 9479, 9479, 0
20.001883, 10.000085, 9521, 9521, 0
30.001558, 9.999675, 7319, 7319, 0
40.00154, 9.999982, 5855, 5855, 0
50.001597, 10.000057, 9232, 9232, 0
60.001446, 9.999849, 8073, 8073, 0
70.009521, 10.008075, 5397, 5397, 0
80.001536, 9.992015, 8950, 8950, 0
90.001823, 10.000287, 8718, 8718, 0
100.001569, 9.999746, 5421, 5421, 0
110.001916, 10.000347, 8197, 8197, 0
120.002421, 10.000505, 8840, 8840, 0
130.00163, 9.999209, 5504, 5504, 0
140.001674, 10.000044, 8332, 8332, 0
150.001884, 10.00021, 8595, 8595, 0
160.001592, 9.999708, 5815, 5815, 0
170.002443, 10.000851, 7630, 7630, 0
180.001702, 9.999259, 8766, 8766, 0
190.001749, 10.000047, 5409, 5409, 0
200.002069, 10.00032, 8342, 8342, 0
210.001558, 9.999489, 8816, 8816, 0
220.001651, 10.000093, 6866, 6866, 0
230.005675, 10.004024, 7433, 7433, 0
240.001602, 9.995927, 8610, 8610, 0
250.001513, 9.999911, 6657, 6657, 0
260.001865, 10.000352, 6599, 6599, 0
270.005571, 10.003706, 8521, 8521, 0
280.001617, 9.996046, 7579, 7579, 0
290.001522, 9.999905, 3736, 3736, 0
300.009549, 10.008027, 8732, 8732, 0
310.001798, 9.992249, 8685, 8685, 0
320.001646, 9.999848, 5032, 5032, 0
330.001764, 10.000118, 7918, 7918, 0
340.001601, 9.999837, 8290, 8290, 0
350.001541, 9.99994, 7563, 7563, 0
360.001617, 10.000076, 6257, 6257, 0
370.001466, 9.999849, 8723, 8723, 0
380.001837, 10.000371, 7542, 7542, 0
390.005875, 10.004038, 6355, 6355, 0
400.001636, 9.995761, 8505, 8505, 0
410.001733, 10.000097, 8259, 8259, 0
420.001672, 9.999939, 5845, 5845, 0
430.001725, 10.000053, 9145, 9145, 0
440.00587, 10.004145, 7955, 7955, 0
450.002048, 9.996178, 6967, 6967, 0
460.000502, 9.998454, 8779, 8779, 0
470.002728, 10.002226, 7868, 7868, 0
480.001503, 9.998775, 6951, 6951, 0
490.001512, 10.000009, 8740, 8740, 0
500.001885, 10.000373, 7783, 7783, 0
510.001525, 9.99964, 6343, 6343, 0
520.007575, 10.00605, 8654, 8654, 0
530.001666, 9.994091, 7911, 7911, 0
540.00165, 9.999984, 7042, 7042, 0
550.001706, 10.000056, 8554, 8554, 0
560.001563, 9.999857, 8541, 8541, 0
570.001498, 9.999935, 8002, 8002, 0
580.001699, 10.000201, 8445, 8445, 0
590.009625, 10.007926, 7877, 7877, 0
600.002184, 9.992559, 8243, 8243, 0
601.339876, 1.337692, 863, 863, 0
