elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000724, 10.000724, 1818, 1620, 18406.0, 12656, 49105, 106372, 199853, 213018, 0
20.001951, 10.001227, 1662, 1826, 18835.1, 12961, 47775, 127587, 198418, 215713, 0
30.001745, 9.999794, 1762, 2298, 16469.7, 12504, 40883, 77367, 163138, 211095, 0
40.001594, 9.999849, 826, 1514, 13212.7, 7785, 18882, 206172, 709947, 1251181, 0
50.00149, 9.999896, 1727, 1642, 16599.9, 12032, 41315, 87124, 187670, 252329, 0
60.00151, 10.00002, 1657, 1797, 18302.8, 12914, 52400, 98162, 177162, 190207, 0
70.001538, 10.000028, 1056, 1385, 14101.8, 9909, 37396, 95572, 181875, 392927, 0
80.001724, 10.000186, 1603, 1374, 14983.5, 11291, 38991, 75683, 112955, 551760, 0
90.001502, 9.999778, 1630, 1439, 17808.3, 12936, 46240, 107858, 226955, 282534, 0
100.001614, 10.000112, 1183, 1700, 14282.5, 11038, 34825, 88077, 163036, 170281, 0
110.001478, 9.999864, 1248, 1577, 11575.2, 9821, 24770, 51484, 153799, 222891, 0
120.001535, 10.000057, 1543, 1577, 18248.9, 13554, 47399, 80194, 108935, 181330, 0
130.001508, 9.999973, 1513, 1719, 15808.1, 12245, 38695, 79028, 102996, 134154, 0
140.001613, 10.000105, 1028, 1641, 10715.2, 8549, 19466, 39506, 457834, 524466, 0
150.001594, 9.999981, 1597, 2063, 17353.1, 12922, 44344, 92573, 156062, 161489, 0
160.009276, 10.007682, 1527, 1985, 19426.9, 13421, 47257, 109897, 330614, 364866, 0
170.00059, 9.991314, 1193, 1686, 11032.7, 9178, 23575, 51513, 96872, 96947, 0
180.001672, 10.001082, 1379, 1895, 15901.6, 11393, 42458, 94228, 201810, 463249, 0
190.001654, 9.999982, 1525, 2248, 19467.8, 13760, 53623, 99849, 188215, 251258, 0
200.001735, 10.000081, 1053, 1882, 12318.2, 9772, 30123, 56048, 101619, 115980, 0
210.00148, 9.999745, 1213, 2106, 14111.5, 11378, 30856, 57218, 100332, 218017, 0
220.001493, 10.000013, 1476, 2146, 18316.6, 14156, 45871, 78367, 114741, 220148, 0
230.001534, 10.000041, 1261, 2165, 13833.9, 10790, 30195, 89247, 154106, 170749, 0
240.005528, 10.003994, 994, 1855, 12874.3, 10675, 29647, 59766, 92568, 99092, 0
250.004563, 9.999035, 1433, 2110, 16675.5, 12667, 45125, 71284, 125198, 137922, 0
260.001537, 9.996974, 1339, 2342, 15550.5, 11954, 37541, 73561, 185306, 223738, 0
270.001481, 9.999944, 1110, 1704, 13806.7, 10859, 32733, 74014, 185306, 223738, 0
280.00177, 10.000289, 1443, 1704, 15965.7, 12095, 39614, 81602, 160644, 215339, 0
290.001739, 9.999969, 1449, 1660, 16831.8, 12651, 44349, 87889, 121523, 139645, 0
300.005149, 10.00341, 1227, 1660, 12118.7, 9679, 26191, 63881, 155083, 218596, 0
310.000553, 9.995404, 1317, 1988, 14367.9, 11444, 31162, 75407, 210244, 275818, 0
320.001482, 10.000929, 1287, 2654, 17789.8, 12764, 49343, 97199, 168497, 275818, 0
330.00159, 10.000108, 1162, 1936, 13430.4, 10018, 34483, 78735, 131668, 205920, 0
