elapsed, window, total, successful, failed
10.002091, 10.002091, 8958, 8958, 0
20.000402, 9.998311, 8299, 8299, 0
30.001366, 10.000964, 8382, 8382, 0
40.001605, 10.000239, 3211, 3211, 0
50.001693, 10.000088, 6923, 6923, 0
60.0016, 9.999907, 8173, 8173, 0
70.001584, 9.999984, 6120, 6120, 0
80.001606, 10.000022, 6033, 6033, 0
90.001541, 9.999935, 7845, 7845, 0
100.010071, 10.00853, 5126, 5126, 0
110.00146, 9.991389, 6204, 6204, 0
120.001535, 10.000075, 7907, 7907, 0
130.001453, 9.999918, 6190, 6190, 0
140.001428, 9.999975, 5917, 5917, 0
150.001375, 9.999947, 7612, 7612, 0
160.001585, 10.00021, 5729, 5729, 0
170.001524, 9.999939, 5567, 5567, 0
180.002018, 10.000494, 5829, 5829, 0
190.001451, 9.999433, 7601, 7601, 0
200.001434, 9.999983, 5406, 5406, 0
210.001681, 10.000247, 5673, 5673, 0
220.001528, 9.999847, 7330, 7330, 0
230.010211, 10.008683, 4959, 4959, 0
240.00045, 9.990239, 7184, 7184, 0
250.006197, 10.005747, 5430, 5430, 0
260.000432, 9.994235, 5050, 5050, 0
270.002488, 10.002056, 7089, 7089, 0
280.001439, 9.998951, 5856, 5856, 0
290.001494, 10.000055, 5485, 5485, 0
300.001717, 10.000223, 6331, 6331, 0
310.001619, 9.999902, 6444, 6444, 0
320.00142, 9.999801, 5235, 5235, 0
330.010271, 10.008851, 5193, 5193, 0
340.001522, 9.991251, 7198, 7198, 0
350.010163, 10.008641, 5247, 5247, 0
360.00626, 9.996097, 5417, 5417, 0
370.002438, 9.996178, 7251, 7251, 0
380.001446, 9.999008, 5831, 5831, 0
390.001371, 9.999925, 5713, 5713, 0
400.001569, 10.000198, 6232, 6232, 0
410.00205, 10.000481, 6617, 6617, 0
420.001795, 9.999745, 4501, 4501, 0
430.001371, 9.999576, 5592, 5592, 0
440.002808, 10.001437, 7002, 7002, 0
450.00198, 9.999172, 4616, 4616, 0
460.0016, 9.99962, 6131, 6131, 0
470.0027, 10.0011, 7194, 7194, 0
480.001644, 9.998944, 5312, 5312, 0
490.00141, 9.999766, 6021, 6021, 0
500.001981, 10.000571, 5828, 5828, 0
510.001603, 9.999622, 6756, 6756, 0
520.001663, 10.00006, 4902, 4902, 0
530.001588, 9.999925, 6114, 6114, 0
540.001716, 10.000128, 5921, 5921, 0
550.001639, 9.999923, 4834, 4834, 0
560.00258, 10.000941, 5410, 5410, 0
570.001521, 9.998941, 6331, 6331, 0
580.001502, 9.999981, 5237, 5237, 0
590.001367, 9.999865, 4736, 4736, 0
600.00151, 10.000143, 7164, 7164, 0
601.032751, 1.031241, 1155, 1155, 0
