elapsed, window, total, successful, failed
10.001779, 10.001779, 5304, 5304, 0
20.001658, 9.999879, 5100, 5100, 0
30.001649, 9.999991, 5011, 5011, 0
40.002281, 10.000632, 2325, 2325, 0
50.000653, 9.998372, 4940, 4940, 0
60.001799, 10.001146, 4958, 4958, 0
70.001545, 9.999746, 3245, 3245, 0
80.001545, 10.0, 4249, 4249, 0
90.001641, 10.000096, 4748, 4748, 0
100.001574, 9.999933, 3420, 3420, 0
110.001661, 10.000087, 3698, 3698, 0
120.001681, 10.00002, 4936, 4936, 0
130.001662, 9.999981, 4303, 4303, 0
140.001608, 9.999946, 3166, 3166, 0
150.001562, 9.999954, 4444, 4444, 0
160.001543, 9.999981, 4561, 4561, 0
170.001786, 10.000243, 3283, 3283, 0
180.001577, 9.999791, 4321, 4321, 0
190.001548, 9.999971, 4718, 4718, 0
200.001568, 10.00002, 3511, 3511, 0
210.001826, 10.000258, 4095, 4095, 0
220.004714, 10.002888, 4646, 4646, 0
230.001774, 9.99706, 4071, 4071, 0
240.001648, 9.999874, 2863, 2863, 0
250.001543, 9.999895, 4560, 4560, 0
260.00169, 10.000147, 4249, 4249, 0
270.005563, 10.003873, 2943, 2943, 0
280.001564, 9.996001, 4279, 4279, 0
290.001581, 10.000017, 4500, 4500, 0
300.001857, 10.000276, 3485, 3485, 0
310.004595, 10.002738, 4155, 4155, 0
320.001594, 9.996999, 4222, 4222, 0
330.001706, 10.000112, 3777, 3777, 0
340.002093, 10.000387, 3478, 3478, 0
350.001938, 9.999845, 4620, 4620, 0
360.001595, 9.999657, 4133, 4133, 0
370.001624, 10.000029, 3447, 3447, 0
380.001625, 10.000001, 3865, 3865, 0
390.001615, 9.99999, 4537, 4537, 0
400.00165, 10.000035, 3315, 3315, 0
410.001916, 10.000266, 4182, 4182, 0
420.001937, 10.000021, 4336, 4336, 0
430.001719, 9.999782, 3680, 3680, 0
440.001592, 9.999873, 3505, 3505, 0
450.001603, 10.000011, 4539, 4539, 0
460.008597, 10.006994, 4028, 4028, 0
470.001704, 9.993107, 3242, 3242, 0
480.001556, 9.999852, 4320, 4320, 0
490.0016, 10.000044, 3972, 3972, 0
500.001813, 10.000213, 3014, 3014, 0
510.001639, 9.999826, 4549, 4549, 0
520.001685, 10.000046, 4300, 4300, 0
530.001758, 10.000073, 3880, 3880, 0
540.001605, 9.999847, 4026, 4026, 0
550.00159, 9.999985, 4101, 4101, 0
560.001595, 10.000005, 4181, 4181, 0
570.001619, 10.000024, 3463, 3463, 0
580.001638, 10.000019, 4278, 4278, 0
590.001871, 10.000233, 4640, 4640, 0
600.001554, 9.999683, 3096, 3096, 0
601.030185, 1.028631, 390, 390, 0
