elapsed, window, total, successful, failed
10.001271, 10.001271, 11708, 11708, 0
20.001416, 10.000145, 11685, 11685, 0
30.001302, 9.999886, 10743, 10743, 0
40.001606, 10.000304, 6415, 6415, 0
50.00585, 10.004244, 11579, 11579, 0
60.001303, 9.995453, 11570, 11570, 0
70.001179, 9.999876, 3062, 3062, 0
80.005346, 10.004167, 11349, 11349, 0
90.001307, 9.995961, 11045, 11045, 0
100.001129, 9.999822, 6091, 6091, 0
110.001145, 10.000016, 7667, 7667, 0
120.001044, 9.999899, 10626, 10626, 0
130.002049, 10.001005, 8134, 8134, 0
140.001134, 9.999085, 7175, 7175, 0
150.005479, 10.004345, 11086, 11086, 0
160.001291, 9.995812, 7862, 7862, 0
170.001516, 10.000225, 7340, 7340, 0
180.001417, 9.999901, 10997, 10997, 0
190.006189, 10.004772, 8601, 8601, 0
200.005136, 9.998947, 9492, 9492, 0
210.001323, 9.996187, 7878, 7878, 0
220.001137, 9.999814, 9355, 9355, 0
230.002731, 10.001594, 9828, 9828, 0
240.001051, 9.99832, 7389, 7389, 0
250.001214, 10.000163, 9859, 9859, 0
260.001623, 10.000409, 8538, 8538, 0
270.001828, 10.000205, 8591, 8591, 0
280.001936, 10.000108, 9848, 9848, 0
290.001534, 9.999598, 7585, 7585, 0
300.001077, 9.999543, 8814, 8814, 0
310.005352, 10.004275, 10196, 10196, 0
320.001567, 9.996215, 7905, 7905, 0
330.001223, 9.999656, 8299, 8299, 0
340.005031, 10.003808, 10286, 10286, 0
350.002483, 9.997452, 8852, 8852, 0
360.001384, 9.998901, 6672, 6672, 0
370.001233, 9.999849, 9343, 9343, 0
380.003259, 10.002026, 8308, 8308, 0
390.001087, 9.997828, 9060, 9060, 0
400.001178, 10.000091, 9828, 9828, 0
410.001527, 10.000349, 8843, 8843, 0
420.001572, 10.000045, 8307, 8307, 0
430.001568, 9.999996, 9926, 9926, 0
440.001248, 9.99968, 8847, 8847, 0
450.001771, 10.000523, 8120, 8120, 0
460.001821, 10.00005, 9042, 9042, 0
470.002274, 10.000453, 9943, 9943, 0
480.00105, 9.998776, 6038, 6038, 0
490.002797, 10.001747, 8590, 8590, 0
500.001166, 9.998369, 9837, 9837, 0
510.001513, 10.000347, 7887, 7887, 0
520.005115, 10.003602, 9432, 9432, 0
530.001704, 9.996589, 10134, 10134, 0
540.001051, 9.999347, 8104, 8104, 0
550.001718, 10.000667, 8428, 8428, 0
560.001153, 9.999435, 9421, 9421, 0
570.001529, 10.000376, 7883, 7883, 0
580.002603, 10.001074, 9152, 9152, 0
590.002177, 9.999574, 9640, 9640, 0
600.001247, 9.99907, 8483, 8483, 0
601.033547, 1.0323, 1120, 1120, 0
