elapsed, window, total, successful, failed
10.000806, 10.000806, 5083, 5083, 0
20.0018, 10.000994, 4186, 4186, 0
30.001845, 10.000045, 3600, 3600, 0
40.005732, 10.003887, 3179, 3179, 0
50.001743, 9.996011, 4171, 4171, 0
60.001794, 10.000051, 3901, 3901, 0
70.001941, 10.000147, 3022, 3022, 0
80.001733, 9.999792, 4193, 4193, 0
90.001736, 10.000003, 3838, 3838, 0
100.001823, 10.000087, 2955, 2955, 0
110.001795, 9.999972, 3918, 3918, 0
120.002005, 10.00021, 3959, 3959, 0
130.001814, 9.999809, 3251, 3251, 0
140.002035, 10.000221, 3477, 3477, 0
150.000805, 9.99877, 3921, 3921, 0
160.001808, 10.001003, 3500, 3500, 0
170.001796, 9.999988, 3298, 3298, 0
180.00179, 9.999994, 3939, 3939, 0
190.001769, 9.999979, 3814, 3814, 0
200.002059, 10.00029, 2916, 2916, 0
210.001733, 9.999674, 3970, 3970, 0
220.001818, 10.000085, 3830, 3830, 0
230.00186, 10.000042, 3040, 3040, 0
240.001766, 9.999906, 3330, 3330, 0
250.001777, 10.000011, 3483, 3483, 0
260.001883, 10.000106, 3347, 3347, 0
270.001891, 10.000008, 3346, 3346, 0
280.001807, 9.999916, 3993, 3993, 0
290.001993, 10.000186, 3017, 3017, 0
300.005878, 10.003885, 2850, 2850, 0
310.001867, 9.995989, 3925, 3925, 0
320.004882, 10.003015, 3570, 3570, 0
330.005789, 10.000907, 2922, 2922, 0
340.004797, 9.999008, 3565, 3565, 0
350.001769, 9.996972, 3506, 3506, 0
360.001896, 10.000127, 3437, 3437, 0
370.001862, 9.999966, 3256, 3256, 0
380.001922, 10.00006, 3673, 3673, 0
390.002107, 10.000185, 2929, 2929, 0
400.001139, 9.999032, 3177, 3177, 0
410.00101, 9.999871, 3912, 3912, 0
420.001983, 10.000973, 3615, 3615, 0
430.001881, 9.999898, 3199, 3199, 0
440.002187, 10.000306, 3365, 3365, 0
450.000881, 9.998694, 3853, 3853, 0
460.001961, 10.00108, 3146, 3146, 0
470.001941, 9.99998, 3069, 3069, 0
480.001787, 9.999846, 3692, 3692, 0
490.00974, 10.007953, 3286, 3286, 0
500.002883, 9.993143, 2883, 2883, 0
510.000809, 9.997926, 3748, 3748, 0
520.001861, 10.001052, 3318, 3318, 0
530.001772, 9.999911, 2869, 2869, 0
540.001793, 10.000021, 3806, 3806, 0
550.001754, 9.999961, 3197, 3197, 0
560.001846, 10.000092, 3454, 3454, 0
570.001977, 10.000131, 3329, 3329, 0
580.005744, 10.003767, 3242, 3242, 0
590.002239, 9.996495, 3371, 3371, 0
600.002265, 10.000026, 2643, 2643, 0
601.029758, 1.027493, 963, 963, 0
