elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001142, 10.001142, 2908, 1819, 13784.6, 11640, 28982, 48406, 101593, 116130, 0
20.001177, 10.000035, 2825, 1819, 14163.6, 12448, 27045, 38494, 59207, 69304, 0
30.008143, 10.006966, 2458, 1502, 16906.0, 12641, 33104, 77475, 430546, 493841, 0
40.001161, 9.993018, 1529, 1556, 50832.5, 12297, 60437, 1142781, 2616574, 3043137, 0
50.00139, 10.000229, 2692, 1140, 15359.7, 13447, 30853, 44530, 61287, 69318, 0
60.005237, 10.003847, 2652, 2321, 18516.2, 14032, 32735, 58131, 700504, 804720, 0
70.001113, 9.995876, 1189, 1718, 64788.4, 11002, 324903, 1367303, 1963601, 2358623, 0
80.001239, 10.000126, 2565, 1885, 15883.2, 13199, 32402, 61151, 102252, 937379, 0
90.001433, 10.000194, 2633, 1764, 16877.5, 14004, 33359, 57613, 213866, 396223, 0
100.001126, 9.999693, 1435, 2242, 39086.5, 13372, 41031, 803232, 2150024, 2159671, 0
110.001302, 10.000176, 2092, 2497, 34706.1, 14999, 34668, 112653, 3471727, 4104054, 0
120.001473, 10.000171, 2586, 1541, 19740.4, 14615, 37467, 73798, 632150, 764774, 0
130.001129, 9.999656, 2056, 1912, 27431.6, 13803, 38735, 546552, 1303787, 1399624, 0
140.001144, 10.000015, 1946, 2199, 31720.6, 13738, 41140, 565246, 2224794, 2254970, 0
150.001153, 10.000009, 2542, 2453, 17240.9, 13824, 36266, 63487, 220455, 292972, 0
160.001139, 9.999986, 1809, 1732, 32457.6, 14213, 42179, 722348, 1407580, 1814901, 0
170.001112, 9.999973, 1663, 1807, 35345.0, 13962, 34249, 853255, 3269051, 3418035, 0
180.001164, 10.000052, 2602, 1807, 19867.5, 14611, 33875, 57088, 933498, 1056765, 0
190.001109, 9.999945, 2102, 1640, 25429.0, 14014, 41243, 421966, 1038930, 1113400, 0
200.001367, 10.000258, 2194, 2344, 22169.2, 14421, 34857, 105025, 991316, 1879965, 0
210.001274, 9.999907, 1979, 1922, 40340.8, 14434, 39129, 130374, 4234281, 4378831, 0
220.00112, 9.999846, 2302, 2194, 19246.8, 14709, 34312, 100340, 469370, 502864, 0
230.001147, 10.000027, 2186, 1867, 25678.8, 14844, 35005, 174901, 1464870, 2061212, 0
240.001334, 10.000187, 2281, 2298, 22808.1, 14961, 38397, 102817, 1297574, 1320224, 0
250.001206, 9.999872, 2483, 2633, 21253.7, 14831, 35978, 150538, 702522, 775805, 0
260.001287, 10.000081, 1954, 2299, 36795.5, 14274, 42720, 847787, 1972472, 2098345, 0
270.001143, 9.999856, 2478, 2143, 19544.8, 14352, 36152, 73910, 746565, 920606, 0
280.001334, 10.000191, 2490, 2459, 20104.0, 14611, 35743, 119311, 669111, 1004247, 0
290.001133, 9.999799, 1836, 2140, 36494.8, 14198, 44332, 765245, 1737578, 1920882, 0
300.001304, 10.000171, 2496, 2084, 22578.0, 15069, 40817, 160254, 742123, 1118633, 0
310.001111, 9.999807, 2535, 2597, 20629.3, 15798, 35989, 88294, 415775, 729373, 0
320.001307, 10.000196, 1829, 2009, 32537.0, 13708, 44116, 835424, 1995332, 2174933, 0
330.001408, 10.000101, 2471, 2471, 20030.6, 14392, 38964, 124032, 622099, 966358, 0
340.001242, 9.999834, 2443, 2275, 21911.3, 15843, 35729, 199167, 598112, 662688, 0
350.001308, 10.000066, 2084, 2043, 28325.7, 14436, 38855, 533972, 1291920, 1562982, 0
360.001141, 9.999833, 2447, 2872, 21789.8, 15559, 35061, 82213, 959946, 1053539, 0
370.001763, 10.000622, 2347, 2528, 21983.9, 15457, 38418, 145747, 876445, 962922, 0
380.00112, 9.999357, 1937, 2199, 24567.3, 14921, 36873, 332898, 1166803, 1234682, 0
390.001496, 10.000376, 2471, 2172, 32218.2, 14958, 34573, 547126, 2058342, 2105764, 0
400.001984, 10.000488, 2580, 2778, 19203.6, 15310, 33003, 95801, 359774, 453504, 0
410.002617, 10.000633, 2224, 2066, 28970.0, 16118, 36242, 686121, 1133786, 1808513, 0
420.001106, 9.998489, 2018, 2526, 25472.0, 14617, 36750, 236777, 2021434, 2468649, 0
430.001114, 10.000008, 2488, 2669, 21936.3, 15615, 38281, 177274, 616148, 666568, 0
440.001827, 10.000713, 2114, 2153, 26249.0, 15468, 36602, 128266, 1704995, 1771312, 0
450.001249, 9.999422, 2136, 2655, 24708.3, 15438, 39055, 120778, 1336603, 1740436, 0
460.001585, 10.000336, 2574, 2927, 20613.4, 15779, 32528, 115301, 615034, 621548, 0
470.00123, 9.999645, 2454, 2378, 23045.5, 15672, 33494, 66476, 1211584, 1875578, 0
480.001904, 10.000674, 2073, 2332, 28254.6, 15380, 39545, 492301, 1165947, 2132975, 0
490.001112, 9.999208, 2539, 2065, 23384.7, 16826, 37067, 226695, 537765, 1008861, 0
500.001119, 10.000007, 2415, 2338, 20656.3, 16670, 33158, 79287, 496527, 536212, 0
510.001899, 10.00078, 1941, 2281, 35974.8, 15840, 44572, 760374, 1740663, 1991706, 0
520.001276, 9.999377, 2427, 2342, 22188.1, 17316, 35407, 129219, 511753, 612690, 0
530.002027, 10.000751, 2499, 2099, 21659.9, 16992, 36602, 98798, 583638, 638542, 0
540.00214, 10.000113, 1825, 2161, 24264.1, 16394, 33855, 195984, 847980, 1331934, 0
550.002334, 10.000194, 2487, 2294, 22840.8, 16893, 35405, 249105, 492927, 694053, 0
560.003662, 10.001328, 2575, 4300, 21269.3, 18133, 36319, 64205, 459689, 566661, 0
