elapsed, window, total, successful, failed
10.001138, 10.001138, 8820, 8820, 0
20.002056, 10.000918, 8094, 8094, 0
30.002014, 9.999958, 7513, 7513, 0
40.002164, 10.00015, 4282, 4282, 0
50.009986, 10.007822, 8063, 8063, 0
60.002106, 9.99212, 7769, 7769, 0
70.001095, 9.998989, 3515, 3515, 0
80.000962, 9.999867, 7977, 7977, 0
90.001975, 10.001013, 7905, 7905, 0
100.001969, 9.999994, 5001, 5001, 0
110.002012, 10.000043, 6182, 6182, 0
120.001953, 9.999941, 7795, 7795, 0
130.002034, 10.000081, 6194, 6194, 0
140.001043, 9.999009, 6124, 6124, 0
150.001953, 10.00091, 7804, 7804, 0
160.00215, 10.000197, 5636, 5636, 0
170.00099, 9.99884, 5127, 5127, 0
180.002024, 10.001034, 7726, 7726, 0
190.002004, 9.99998, 6394, 6394, 0
200.001985, 9.999981, 6754, 6754, 0
210.001975, 9.99999, 5527, 5527, 0
220.001963, 9.999988, 7431, 7431, 0
230.001982, 10.000019, 6553, 6553, 0
240.002099, 10.000117, 7316, 7316, 0
250.000998, 9.998899, 7478, 7478, 0
260.002082, 10.001084, 5482, 5482, 0
270.002044, 9.999962, 7314, 7314, 0
280.002359, 10.000315, 7101, 7101, 0
290.001006, 9.998647, 5341, 5341, 0
300.001972, 10.000966, 7399, 7399, 0
310.00239, 10.000418, 7580, 7580, 0
320.001009, 9.998619, 5275, 5275, 0
330.002549, 10.00154, 7198, 7198, 0
340.000962, 9.998413, 7432, 7432, 0
350.002066, 10.001104, 6139, 6139, 0
360.001982, 9.999916, 7361, 7361, 0
370.002242, 10.00026, 7133, 7133, 0
380.00125, 9.999008, 6004, 6004, 0
390.001572, 10.000322, 7084, 7084, 0
400.001061, 9.999489, 7919, 7919, 0
410.002222, 10.001161, 6442, 6442, 0
420.001663, 9.999441, 6351, 6351, 0
430.001457, 9.999794, 7185, 7185, 0
440.00105, 9.999593, 6344, 6344, 0
450.002695, 10.001645, 6526, 6526, 0
460.00163, 9.998935, 7685, 7685, 0
470.001342, 9.999712, 7214, 7214, 0
480.001402, 10.00006, 6065, 6065, 0
490.003304, 10.001902, 7337, 7337, 0
500.001195, 9.997891, 7310, 7310, 0
510.001408, 10.000213, 5406, 5406, 0
520.002314, 10.000906, 7077, 7077, 0
530.002323, 10.000009, 7561, 7561, 0
540.001329, 9.999006, 5363, 5363, 0
550.00318, 10.001851, 7095, 7095, 0
560.001163, 9.997983, 7546, 7546, 0
570.002946, 10.001783, 5657, 5657, 0
580.001345, 9.998399, 6951, 6951, 0
590.01109, 10.009745, 7287, 7287, 0
600.002517, 9.991427, 5980, 5980, 0
601.032634, 1.030117, 751, 751, 0
